rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
72,G2_0149,329.43,G2_0440,222.81,276.12,-0.0101,父本LR2携带
73,G2_0149,329.43,G2_0382,222.06,275.74,0.0049,父本LR2携带
74,G2_0149,329.43,G2_0244,221.89,275.66,0.0343,父本LR2携带
75,G2_0197,327.24,G2_0306,220.69,273.96,0.0044,母本LR2携带
76,G2_0197,327.24,G2_0422,218.9,273.07,-0.0046,
77,G2_0197,327.24,G2_0077,218.77,273.0,-0.0249,
78,G2_0197,327.24,G2_0498,218.45,272.84,-0.0053,
79,G2_0197,327.24,G2_0119,217.42,272.33,-0.0181,母本LR1携带、母本LR2携带
80,G2_0197,327.24,G2_0337,216.23,271.73,0.0083,
81,G2_0443,322.85,G2_0362,216.57,269.71,-0.0125,
82,G2_0443,322.85,G2_0025,215.04,268.94,0.0305,
83,G2_0443,322.85,G2_0262,215.02,268.93,0.0339,
84,G2_0443,322.85,G2_0456,214.67,268.76,0.0216,母本LR1携带
85,G2_0443,322.85,G2_0332,214.47,268.66,-0.0026,
86,G2_0443,322.85,G2_0135,213.48,268.16,0.0589,
87,G2_0443,322.85,G2_0016,212.97,267.91,0.0234,
88,G2_0443,322.85,G2_0094,212.96,267.91,-0.0011,
89,G2_0061,318.33,G2_0046,212.58,265.46,0.0103,
90,G2_0061,318.33,G2_0279,212.22,265.28,-0.0364,母本LR2携带
91,G2_0061,318.33,G2_0269,210.21,264.27,-0.0036,
92,G2_0061,318.33,G2_0010,209.84,264.09,-0.0391,
93,G2_0061,318.33,G2_0083,209.28,263.8,0.0183,
94,G2_0061,318.33,G2_0123,208.42,263.38,-0.0031,
95,G2_0061,318.33,G2_0142,202.67,260.5,0.0034,母本LR1携带
96,G2_0061,318.33,G2_0173,202.26,260.3,-0.0093,
97,G2_0227,306.11,G2_0386,206.75,256.43,-0.006,父本LR2携带
98,G2_0347,305.19,G2_0157,201.82,253.51,0.0446,母本LR2携带
99,G2_0227,306.11,G2_0124,200.27,253.19,-0.0013,母本LR1携带、父本LR2携带
100,G2_0347,305.19,G2_0526,201.0,253.09,-0.0082,母本LR2携带
101,G2_0347,305.19,G2_0401,200.27,252.73,0.054,母本LR2携带
102,G2_0227,306.11,G2_0254,199.1,252.61,-0.0275,父本LR2携带
103,G2_0227,306.11,G2_0048,198.96,252.54,-0.0059,母本LR1携带、父本LR2携带
104,G2_0227,306.11,G2_0095,197.02,251.57,-0.0072,父本LR2携带
105,G2_0227,306.11,G2_0315,196.79,251.45,-0.0103,母本LR1携带、父本LR2携带
106,G2_0347,305.19,G2_0290,196.59,250.89,0.0447,母本LR2携带
107,G2_0227,306.11,G2_0169,195.48,250.8,0.0003,父本LR2携带
108,G2_0227,306.11,G2_0357,195.12,250.61,-0.0214,父本LR2携带
109,G2_0347,305.19,G2_0268,193.07,249.13,0.0126,
110,G2_0347,305.19,G2_0036,192.87,249.03,-0.0091,
111,G2_0347,305.19,G2_0247,191.72,248.46,0.001,
112,G2_0347,305.19,G2_0062,191.13,248.16,0.0445,
113,G2_0150,304.39,G2_0170,190.66,247.53,-0.0205,
114,G2_0150,304.39,G2_0444,188.55,246.47,-0.0085,
115,G2_0150,304.39,G2_0429,188.3,246.35,0.0234,
116,G2_0150,304.39,G2_0297,188.02,246.2,-0.003,母本LR1携带
117,G2_0150,304.39,G2_0073,185.98,245.18,-0.0211,
118,G2_0110,304.19,G2_0405,186.08,245.14,-0.0041,
119,G2_0150,304.39,G2_0177,184.41,244.4,0.0092,
120,G2_0150,304.39,G2_0261,184.21,244.3,-0.0256,
121,G2_0150,304.39,G2_0485,183.62,244.01,-0.0545,母本LR2携带
122,G2_0110,304.19,G2_0385,183.19,243.69,0.0318,
123,G2_0110,304.19,G2_0189,182.84,243.51,-0.0494,母本LR2携带
124,G2_0110,304.19,G2_0436,181.54,242.86,-0.009,
125,G2_0110,304.19,G2_0335,181.02,242.6,0.0368,
126,G2_0110,304.19,G2_0221,180.68,242.44,-0.0014,母本LR2携带
127,G2_0110,304.19,G2_0506,180.56,242.37,0.0461,
128,G2_0110,304.19,G2_0499,179.5,241.84,0.0008,
129,G2_0388,304.07,G2_0263,179.41,241.74,-0.0183,母本LR2携带
130,G2_0388,304.07,G2_0055,173.8,238.94,-0.0071,
131,G2_0388,304.07,G2_0020,173.35,238.71,0.0163,
132,G2_0388,304.07,G2_0511,172.92,238.5,-0.0377,母本LR1携带
133,G2_0388,304.07,G2_0086,171.74,237.9,-0.0146,母本LR1携带
134,G2_0388,304.07,G2_0360,170.78,237.43,0.0309,
135,G2_0388,304.07,G2_0078,170.62,237.35,0.0362,
136,G2_0388,304.07,G2_0529,169.46,236.76,0.005,
137,G2_0087,303.37,G2_0460,166.84,235.11,-0.0411,母本LR1携带
138,G2_0087,303.37,G2_0514,166.48,234.93,-0.0181,
139,G2_0017,301.94,G2_0132,167.72,234.83,-0.0153,父本LR2携带
140,G2_0087,303.37,G2_0285,164.78,234.08,0.0435,
141,G2_0087,303.37,G2_0032,164.24,233.81,-0.0175,母本LR1携带
142,G2_0087,303.37,G2_0406,162.92,233.15,0.0039,
143,G2_0087,303.37,G2_0454,161.54,232.46,0.0199,母本LR1携带
144,G2_0087,303.37,G2_0027,161.52,232.44,-0.0315,母本LR2携带
145,G2_0087,303.37,G2_0489,160.55,231.96,0.0248,母本LR1携带
146,G2_0017,301.94,G2_0278,159.97,230.95,-0.0116,父本LR2携带
147,G2_0017,301.94,G2_0024,159.35,230.65,0.0258,父本LR2携带
148,G2_0017,301.94,G2_0191,158.13,230.04,-0.0243,父本LR2携带
149,G2_0017,301.94,G2_0359,157.28,229.61,0.0195,父本LR2携带
150,G2_0017,301.94,G2_0487,157.03,229.48,0.0002,父本LR2携带
