marker_index,effect
1447,-19.935832
1449,4.624021
1451,3.572269
1464,6.51946
1466,-7.673621
1480,-4.31417
1493,-0.276242
1495,-7.72335
1516,-2.755464
1524,16.885666
1539,-15.547606
1553,-12.682722
1554,-5.295785
1559,-15.734066
1560,9.118592
1565,-1.697607
1568,4.901302
1594,-16.364632
1596,3.879154
1608,12.40455
1614,8.54423
1652,-2.514994
1682,5.427071
1684,6.096701
1696,-0.815076
1697,-0.116737
1714,-2.519074
1723,9.36367
1724,-30.762936
1727,3.717968
1729,-12.717347
1736,4.534913
1768,-6.184244
1773,-11.072323
1783,-11.491385
1791,-7.743417
1812,-11.104656
1819,-8.353368
1823,-9.331276
1824,-7.444689
1844,-13.21714
1845,-10.297969
1848,-6.851727
1853,5.489193
1856,-5.480762
1878,6.145455
1916,23.122121
1924,12.867339
1932,-17.196804
1933,-8.019713
1952,10.24676
1955,-6.836539
1956,-14.383264
1964,-1.573176
1968,17.122777
1980,2.71109
1982,11.096963
1992,-0.187186
2002,-2.61334
2018,17.110461
2036,-2.776143
2044,6.506297
2060,1.059235
2061,10.172976
2063,-4.451236
2071,7.276578
2079,-12.739009
2087,0.001423
2091,-3.790318
2093,-4.907737
2094,5.847478
2105,-5.185447
2129,9.275994
2141,3.586989
2154,-16.233389
2164,0.181711
2178,2.418585
2182,-3.916451
2191,-1.259656
2195,-0.071095
2201,-7.788529
2203,-11.695982
2205,8.774131
2216,6.956725
2220,-0.434323
2222,2.826793
2227,2.836787
2234,6.058242
2240,20.032998
2252,-1.234188
2256,15.226636
2284,-3.738714
2289,-21.895965
2297,-14.567446
2318,-6.515479
2327,5.432187
2332,-1.346306
2349,19.038409
2378,8.010682
2382,6.97112
2386,-5.307567
2409,0.76088
2410,-8.123659
2412,0.015335
2422,-0.461754
2432,7.389525
2440,10.37459
2447,1.049323
2459,-3.406743
2474,9.906009
2477,1.236689
2497,16.511074
2501,-14.599526
2513,-1.475458
2527,-16.406989
2528,3.680629
2529,-6.213054
2536,-16.013367
2544,-13.398656
2547,-2.973872
2551,4.598665
2559,12.992032
2561,-13.26743
2575,9.855135
2578,5.142109
2580,2.197508
2582,-0.21826
2587,-7.873925
2590,8.987884
2598,0.106184
2606,-4.603477
2607,-6.842017
2629,1.69421
2631,-4.973997
2638,-1.443025
2639,-2.137474
2649,-11.61664
2657,1.572255
2658,1.699663
2661,6.750319
2664,-1.618134
2669,14.848801
2674,17.128055
2676,-26.082699
2684,-1.863351
2693,13.8649
2704,4.389621
2706,15.012631
2717,-2.500694
2728,20.860507
2730,-2.203492
2735,17.407202
2738,12.762355
2748,-1.934469
2750,-0.426503
2754,-11.780498
2776,-3.810855
2796,10.429219
2800,-11.07067
2827,-18.311494
2844,10.94001
2858,-1.035212
2887,-2.344582
2899,5.503866
2902,-1.500638
2927,11.666117
2931,1.987208
2956,8.910421
2958,4.565925
2963,6.093646
2964,-5.827511
3013,2.590702
3019,8.989285
3054,-11.255567
3090,8.237529
3122,-12.050442
3170,4.315467
3174,-5.720434
3175,4.284985
3178,-1.422245
3180,-1.651808
3183,11.51564
3202,-11.285399
3232,15.187471
3242,1.108013
3243,-5.113863
3244,-8.675077
3246,-1.556034
3249,10.27898
3258,-2.939388
3261,-2.971807
3281,-1.767351
3284,10.17437
3288,-14.362009
3310,7.964779
3328,4.576454
3336,30.056679
3339,5.000186
3343,19.142257
3350,-9.830366
3382,-0.85771
3387,6.693868
3401,15.704895
3436,15.713649
3437,-5.367102
3481,4.385865
3489,4.61124
3508,-13.057496
3510,-1.169588
3531,2.89686
3542,3.032653
3549,8.470608
3560,0.203312
3563,10.608096
3569,-0.774193
3599,-5.268283
3613,-0.073676
3619,-11.22072
3620,6.431642
3622,-7.638637
3624,-30.227222
3664,12.219003
3665,3.517933
3683,-12.09877
3690,-12.698096
3692,-13.920168
3701,9.496329
3708,4.570527
3714,1.079877
3726,-11.152652
3746,7.317474
3759,-9.502544
3765,-7.734739
3768,16.724159
3781,-3.319854
3782,-8.7421
3802,11.33643
3805,4.736754
3815,3.756988
3827,6.586603
3845,-11.340907
3856,-7.409783
3859,13.657426
3862,9.69948
3863,1.561111
3878,2.070974
3887,-12.244961
3891,3.556489
3901,6.057492
3904,-1.120267
3924,-19.888866
3928,-14.155602
3941,22.580876
3952,-2.508706
3967,5.047332
3993,5.437229
4009,-0.888894
4011,1.140662
4019,-3.661794
4037,3.732686
4063,-8.822213
4066,11.05521
4073,3.337654
4077,10.312062
4080,1.096421
4100,10.792431
4108,7.226265
4121,-8.778916
4143,-6.855306
4146,-8.84454
4156,5.413054
4161,-13.354966
4168,-2.302397
4173,1.905525
4200,-1.669265
4210,4.107144
4217,-2.213715
4232,12.213037
4245,-11.573877
4266,-17.543788
4268,-10.44926
4269,-16.334123
4295,9.70737
4297,-1.263049
4304,11.641283
4321,-6.028956
4325,16.274421
4327,1.002929
4344,1.707638
4356,0.865498
4360,-1.501501
4370,-7.110453
4375,0.920861
4377,-24.288478
4390,-8.601113
4393,0.078694
4399,-8.399693
4401,8.758114
4407,5.615047
4432,0.666724
4433,8.479694
4437,15.523862
4445,-6.209728
4446,-16.607514
4448,-4.159215
4454,-19.985898
4486,5.64227
4490,7.378423
4493,-16.633876
4498,-3.239312
4503,-6.678525
4530,8.715096
4544,-1.456445
4545,8.599876
4548,4.13575
4556,4.130836
4560,7.011725
4563,4.259756
4565,20.469553
4574,-4.045312
4575,4.546297
4578,-12.063144
4581,4.314593
4586,23.230059
4601,-5.941312
4610,-3.206294
4632,4.909904
4634,-10.244886
4635,-0.189865
4637,-4.568802
4644,-4.420116
4651,6.006181
4659,-12.509947
4668,19.749614
4673,1.247124
4674,-17.238983
4684,6.063561
4707,-8.249525
4735,7.484153
4745,6.54172
4747,16.142264
4751,13.181972
4764,-7.628262
4773,-6.494818
4774,1.129135
4787,-4.757346
4803,13.093451
4822,-6.864926
4830,-2.407488
4840,9.96733
4853,-7.183047
4867,-21.135851
4869,-9.337791
4871,-1.452877
4872,-4.262453
4873,-7.675559
4878,-14.065043
4888,15.218914
4908,2.97721
4909,11.021382
4912,-11.262469
4920,4.703406
4929,-8.703674
4952,-3.754903
4957,-8.669928
4958,-7.67128
4975,-7.571665
4978,-13.051361
4984,-0.459695
4993,-14.373789
