rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
82,G1_0384,231.07,G1_0218,117.91,174.49,0.0232,母本LR2携带
83,G1_0406,231.69,G1_0354,116.54,174.12,-0.0344,父本LR2携带
84,G1_0406,231.69,G1_0273,116.0,173.84,0.0049,父本LR2携带
85,G1_0384,231.07,G1_0033,114.93,173.0,0.029,
86,G1_0384,231.07,G1_0092,114.84,172.95,-0.0014,
87,G1_0384,231.07,G1_0482,114.15,172.61,0.003,
88,G1_0384,231.07,G1_0107,112.63,171.85,-0.0117,母本LR1携带
89,G1_0090,229.22,G1_0401,111.58,170.4,-0.0553,
90,G1_0090,229.22,G1_0478,111.5,170.36,0.0458,
91,G1_0090,229.22,G1_0160,110.54,169.88,0.0307,
92,G1_0090,229.22,G1_0061,110.36,169.79,0.0446,母本LR2携带
93,G1_0090,229.22,G1_0325,110.01,169.61,-0.0143,
94,G1_0090,229.22,G1_0399,109.41,169.31,0.028,
95,G1_0090,229.22,G1_0357,109.07,169.14,-0.0193,母本LR2携带
96,G1_0090,229.22,G1_0306,107.68,168.45,-0.0433,
97,G1_0036,225.44,G1_0120,105.77,165.61,-0.0201,
98,G1_0036,225.44,G1_0073,105.75,165.59,-0.027,母本LR1携带
99,G1_0361,225.32,G1_0264,105.59,165.45,-0.0036,
100,G1_0036,225.44,G1_0490,105.41,165.43,-0.0248,
101,G1_0036,225.44,G1_0351,105.29,165.37,-0.0279,
102,G1_0036,225.44,G1_0410,104.58,165.01,0.0142,
103,G1_0036,225.44,G1_0527,102.1,163.77,-0.0381,
104,G1_0036,225.44,G1_0082,98.79,162.12,-0.0048,
105,G1_0036,225.44,G1_0452,98.19,161.82,-0.0457,
106,G1_0361,225.32,G1_0316,98.04,161.68,-0.0019,
107,G1_0361,225.32,G1_0274,95.28,160.3,-0.0163,
108,G1_0361,225.32,G1_0076,94.72,160.02,-0.0158,
109,G1_0361,225.32,G1_0185,94.16,159.74,0.0392,
110,G1_0361,225.32,G1_0363,93.42,159.37,-0.015,
111,G1_0361,225.32,G1_0093,92.81,159.06,-0.0233,
112,G1_0361,225.32,G1_0392,92.47,158.9,-0.0229,
113,G1_0523,224.19,G1_0296,92.41,158.3,-0.0126,
114,G1_0523,224.19,G1_0506,92.19,158.19,0.0184,
115,G1_0523,224.19,G1_0436,92.09,158.14,-0.0215,
116,G1_0523,224.19,G1_0280,91.8,158.0,0.0059,
117,G1_0523,224.19,G1_0146,89.46,156.82,-0.0008,
118,G1_0523,224.19,G1_0333,89.17,156.68,0.0051,
119,G1_0523,224.19,G1_0327,87.03,155.61,0.0149,
120,G1_0523,224.19,G1_0513,86.14,155.16,0.0172,
121,G1_0194,222.52,G1_0046,84.79,153.65,-0.0142,
122,G1_0194,222.52,G1_0154,84.42,153.47,0.0076,
123,G1_0194,222.52,G1_0431,84.08,153.3,-0.0091,母本LR2携带
124,G1_0085,221.68,G1_0378,83.45,152.56,0.0075,母本LR2携带
125,G1_0194,222.52,G1_0047,82.45,152.49,0.0606,
126,G1_0194,222.52,G1_0528,82.18,152.35,0.0137,
127,G1_0194,222.52,G1_0231,81.23,151.88,0.0336,
128,G1_0194,222.52,G1_0429,80.78,151.65,0.0044,
129,G1_0194,222.52,G1_0265,78.65,150.58,0.0102,母本LR2携带
130,G1_0085,221.68,G1_0449,74.57,148.12,-0.0232,
131,G1_0085,221.68,G1_0096,74.57,148.12,-0.0087,
132,G1_0085,221.68,G1_0059,73.84,147.76,0.0186,
133,G1_0085,221.68,G1_0088,69.48,145.58,0.0105,
134,G1_0085,221.68,G1_0380,69.35,145.51,-0.0199,
135,G1_0048,218.63,G1_0474,71.93,145.28,-0.0101,
136,G1_0085,221.68,G1_0419,68.89,145.28,-0.0026,
137,G1_0085,221.68,G1_0221,65.93,143.81,-0.0184,
138,G1_0048,218.63,G1_0362,64.26,141.45,-0.01,
139,G1_0048,218.63,G1_0024,63.94,141.29,-0.0113,
140,G1_0048,218.63,G1_0236,63.89,141.26,-0.0348,
141,G1_0048,218.63,G1_0291,60.87,139.75,-0.027,
142,G1_0048,218.63,G1_0469,60.36,139.5,0.0312,
143,G1_0048,218.63,G1_0346,59.76,139.2,-0.0306,
144,G1_0048,218.63,G1_0445,58.64,138.64,0.0377,
145,G1_0326,217.6,G1_0184,58.15,137.87,-0.0289,
146,G1_0326,217.6,G1_0510,56.54,137.07,-0.0059,
147,G1_0326,217.6,G1_0128,55.43,136.51,0.0103,母本LR1携带
148,G1_0326,217.6,G1_0459,53.43,135.51,-0.0103,
149,G1_0326,217.6,G1_0499,52.94,135.27,0.0019,
150,G1_0326,217.6,G1_0043,52.59,135.1,0.0437,
