rank,sire,sire_gebv,dam,dam_gebv,expected_progeny_gebv,expected_progeny_F,carrier_note
42,G0_0148,219.96,G0_1014,177.57,198.77,0.0108,
43,G0_0148,219.96,G0_0746,177.56,198.76,-0.0175,
44,G0_0148,219.96,G0_0883,176.07,198.02,0.0027,
45,G0_0148,219.96,G0_1096,176.01,197.98,0.001,
46,G0_0148,219.96,G0_0411,175.84,197.9,0.0195,
47,G0_0148,219.96,G0_1632,174.58,197.27,0.0623,母本LR1携带
48,G0_0148,219.96,G0_1022,174.44,197.2,-0.0287,
49,G0_0319,219.41,G0_1594,173.87,196.64,0.0391,
50,G0_0319,219.41,G0_1130,173.3,196.36,0.0021,
51,G0_0319,219.41,G0_0579,172.38,195.9,0.011,
52,G0_0319,219.41,G0_1294,169.97,194.69,-0.0167,母本LR2携带
53,G0_0319,219.41,G0_0018,169.56,194.49,0.0046,
54,G0_0319,219.41,G0_1917,169.55,194.48,0.0026,
55,G0_0319,219.41,G0_1577,168.17,193.79,0.0215,
56,G0_0319,219.41,G0_0839,167.56,193.49,-0.0039,
57,G0_1683,218.3,G0_0284,166.04,192.17,0.0089,
58,G0_1683,218.3,G0_1527,165.65,191.98,0.0278,
59,G0_1683,218.3,G0_0305,164.78,191.54,-0.0206,
60,G0_1683,218.3,G0_1032,163.83,191.07,0.0233,
61,G0_1683,218.3,G0_0248,162.6,190.45,0.0046,
62,G0_1683,218.3,G0_0004,161.85,190.08,-0.016,
63,G0_1683,218.3,G0_0476,161.83,190.06,0.0114,
64,G0_1683,218.3,G0_0950,159.17,188.73,-0.0094,
65,G0_0841,217.5,G0_1877,158.71,188.1,0.0169,
66,G0_0841,217.5,G0_0116,158.6,188.05,-0.0078,母本LR2携带
67,G0_0841,217.5,G0_1966,157.65,187.58,0.007,母本LR1携带
68,G0_0841,217.5,G0_0497,157.29,187.4,0.0369,
69,G0_0841,217.5,G0_0406,157.14,187.32,0.0488,母本LR1携带
70,G0_0841,217.5,G0_1099,156.8,187.15,0.0102,
71,G0_0841,217.5,G0_0574,155.45,186.48,-0.0115,
72,G0_0841,217.5,G0_1936,153.78,185.64,0.0172,
73,G0_1221,215.57,G0_0264,152.63,184.1,0.0193,
74,G0_1221,215.57,G0_0019,151.38,183.48,0.0033,
75,G0_1221,215.57,G0_1325,150.4,182.98,-0.0058,
76,G0_1221,215.57,G0_1686,149.49,182.53,0.044,
77,G0_1221,215.57,G0_1731,149.35,182.46,0.0068,
78,G0_1221,215.57,G0_0216,146.18,180.87,-0.0019,
79,G0_1221,215.57,G0_1438,146.05,180.81,0.0038,
80,G0_1221,215.57,G0_1504,145.24,180.4,0.0307,母本LR2携带
81,G0_0205,214.6,G0_1316,144.88,179.74,0.0267,
82,G0_0205,214.6,G0_1393,143.34,178.97,-0.0154,
83,G0_0205,214.6,G0_0637,143.3,178.95,-0.022,母本LR2携带
84,G0_0205,214.6,G0_0093,142.19,178.4,-0.0229,
85,G0_0205,214.6,G0_1788,141.16,177.88,-0.0308,
86,G0_0205,214.6,G0_0157,140.8,177.7,-0.0309,
87,G0_0205,214.6,G0_0396,140.8,177.7,0.0098,母本LR2携带
88,G0_0205,214.6,G0_1985,140.29,177.44,-0.0013,
89,G0_1744,213.25,G0_1840,140.15,176.7,0.0065,
90,G0_1744,213.25,G0_1446,139.57,176.41,0.0103,
91,G0_1744,213.25,G0_0053,138.83,176.04,0.0227,母本LR1携带、母本LR2携带
92,G0_1744,213.25,G0_1994,138.72,175.99,0.0238,
93,G0_1744,213.25,G0_0323,138.4,175.82,-0.0233,
94,G0_1744,213.25,G0_1682,137.1,175.17,0.0017,母本LR1携带
95,G0_1744,213.25,G0_1929,136.54,174.89,0.0595,
96,G0_1744,213.25,G0_1531,136.46,174.85,0.0068,
97,G0_0769,212.25,G0_0462,134.9,173.58,-0.0017,母本LR1携带、父本LR2携带
98,G0_0769,212.25,G0_1433,134.8,173.52,0.0554,父本LR2携带
99,G0_0769,212.25,G0_0811,133.45,172.85,-0.0182,父本LR2携带
100,G0_0769,212.25,G0_1902,133.4,172.82,0.0234,父本LR2携带
101,G0_0769,212.25,G0_1123,132.95,172.6,-0.0161,父本LR2携带
102,G0_0769,212.25,G0_0010,132.69,172.47,-0.0221,父本LR2携带
103,G0_0769,212.25,G0_0270,130.41,171.33,-0.0444,母本LR1携带、父本LR2携带
104,G0_0769,212.25,G0_1334,129.49,170.87,-0.0141,父本LR2携带
105,G0_0509,212.23,G0_0929,128.26,170.25,-0.0444,
106,G0_0509,212.23,G0_1225,128.25,170.24,0.0022,
107,G0_0509,212.23,G0_1739,127.72,169.98,-0.0368,
108,G0_0509,212.23,G0_1459,127.02,169.63,0.0164,
109,G0_0509,212.23,G0_1098,126.44,169.33,0.0382,
110,G0_0729,209.28,G0_0522,129.25,169.26,0.049,
111,G0_0509,212.23,G0_1181,125.29,168.76,0.0252,
112,G0_0509,212.23,G0_0302,124.3,168.27,-0.0106,
113,G0_0509,212.23,G0_1180,123.87,168.05,0.0511,
114,G0_0729,209.28,G0_0933,122.68,165.98,-0.0096,
115,G0_0729,209.28,G0_1526,122.46,165.87,-0.0089,
116,G0_0729,209.28,G0_1327,122.31,165.79,0.0185,
117,G0_0729,209.28,G0_1759,122.12,165.7,-0.0045,
118,G0_0729,209.28,G0_1608,121.46,165.37,0.0028,
119,G0_0729,209.28,G0_0661,121.45,165.37,-0.0482,
120,G0_0729,209.28,G0_1420,120.46,164.87,0.0149,
121,G0_0167,208.93,G0_0266,120.44,164.68,-0.025,
122,G0_0167,208.93,G0_0355,120.17,164.55,-0.0186,
123,G0_0167,208.93,G0_1924,120.11,164.52,0.0183,
124,G0_0167,208.93,G0_0108,119.21,164.07,0.0175,
125,G0_0167,208.93,G0_1075,118.68,163.8,0.0225,
126,G0_0167,208.93,G0_0663,118.65,163.79,-0.031,母本LR1携带
127,G0_0167,208.93,G0_1365,118.25,163.59,-0.0025,母本LR2携带
128,G0_0167,208.93,G0_1199,118.23,163.58,0.0247,
129,G0_1636,208.5,G0_0073,117.19,162.84,0.0028,
130,G0_1636,208.5,G0_1271,117.1,162.8,0.0157,母本LR1携带
131,G0_1636,208.5,G0_0379,115.89,162.19,-0.0094,
132,G0_1636,208.5,G0_1909,115.58,162.04,-0.0543,母本LR2携带
133,G0_1636,208.5,G0_0141,115.08,161.79,0.0236,
134,G0_1636,208.5,G0_0056,114.89,161.69,0.0137,母本LR1携带
135,G0_0048,207.07,G0_1320,115.78,161.43,0.0207,
136,G0_1636,208.5,G0_0557,113.76,161.13,-0.0357,
137,G0_1636,208.5,G0_0189,113.71,161.1,0.0185,
138,G0_0048,207.07,G0_0762,113.66,160.37,0.0271,
139,G0_0048,207.07,G0_0896,111.79,159.43,0.0024,
140,G0_0350,204.57,G0_1727,112.82,158.7,0.0075,母本LR2携带
141,G0_0048,207.07,G0_0735,110.07,158.57,0.0006,
142,G0_0048,207.07,G0_0935,108.85,157.96,0.0196,
143,G0_0048,207.07,G0_1274,108.71,157.89,0.0231,
144,G0_0048,207.07,G0_0633,107.65,157.36,0.0062,
145,G0_0048,207.07,G0_0999,107.33,157.2,-0.0213,
146,G0_0350,204.57,G0_0722,106.25,155.41,0.0042,
147,G0_0350,204.57,G0_0838,105.72,155.15,0.0097,
148,G0_0350,204.57,G0_1018,105.7,155.14,0.0225,母本LR1携带
149,G0_0350,204.57,G0_1048,105.65,155.11,-0.0167,
150,G0_0350,204.57,G0_0819,105.63,155.1,-0.0132,
